unix,open,high,low,close,volume_btc,volume_usd
1681729200000,29904.23,29908.01,29351.0,29596.76,29.78233161,881460.5209
1681725600000,29864.03,29910.4,29769.6,29904.23,3.6263519,108443.2613
1681722000000,29912.09,29932.21,29861.15,29864.03,11.38271805,339933.8333
1681718400000,29857.78,29927.65,29821.46,29912.09,7.86315886,235203.5155
1681714800000,29915.0,29950.32,29857.78,29857.78,3.34578796,99897.80084
1681711200000,30013.65,30025.04,29915.0,29915.0,2.13948941,64002.8257
1681707600000,29980.9,30032.1,29958.12,30013.65,2.79030142,83747.13021
1681704000000,30000.0,30008.21,29931.0,29980.9,15.09966719,452701.6121
1681700400000,30035.07,30059.06,29955.5,30000.0,4.63840364,139152.1092
1681696800000,29953.7,30100.0,29913.43,30035.07,14.01530204,420950.5778
1681693200000,29843.82,30000.0,29765.59,29953.7,17.7326372,531158.0949
1681689600000,30307.98,30329.49,29800.0,29843.82,51.46512625,1535915.964
1681686000000,30330.07,30352.95,30258.62,30307.98,1.94021233,58803.91649
1681682400000,30369.74,30406.2,30300.0,30330.07,2.96891122,90047.28513
1681678800000,30332.8,30398.76,30280.96,30369.74,4.24706975,128982.4041
1681675200000,30305.92,30408.1,30210.2,30332.8,17.24718479,523155.4068
1681671600000,30466.03,30534.81,30300.0,30305.92,13.83415754,419256.8717
1681668000000,30285.0,30466.03,30284.7,30466.03,13.85253211,422031.6588
1681664400000,30327.67,30341.64,30272.73,30285.0,5.04260768,152715.3736
1681660800000,30324.89,30329.99,30228.9,30327.67,8.7234358,264561.4822
1681657200000,30318.41,30355.01,30301.92,30324.89,17.94128951,544067.6308
1681653600000,30248.92,30325.28,30248.92,30318.41,3.67781164,111505.4012
1681650000000,30253.94,30269.99,30177.79,30248.92,4.86903987,147283.1975
1681646400000,30249.72,30283.76,30242.49,30253.94,2.81623057,85202.07069
1681642800000,30269.05,30300.0,30249.72,30249.72,1.61031837,48711.6798
1681639200000,30270.0,30296.95,30269.0,30269.05,1.17696365,35625.57157
1681635600000,30341.92,30346.99,30268.51,30270.0,3.19398434,96681.90597
1681632000000,30360.42,30365.86,30340.11,30341.92,0.39547921,11999.59855
1681628400000,30328.64,30400.0,30313.27,30360.42,0.96549315,29312.77754
1681624800000,30339.01,30366.71,30328.64,30328.64,2.24635035,68128.75108
1681621200000,30313.2,30374.66,30313.2,30339.01,7.30519233,221632.3032
1681617600000,30274.94,30334.72,30266.68,30313.2,6.78862159,205784.844
1681614000000,30282.93,30282.93,30250.63,30274.94,10.4370255,315980.3208
1681610400000,30248.31,30335.0,30210.8,30282.93,11.87554832,359626.3985
1681606800000,30286.71,30293.5,30144.76,30248.31,8.50548691,257276.6048
1681603200000,30300.91,30325.85,30286.71,30286.71,4.55866821,138067.0621
1681599600000,30345.29,30360.0,30286.71,30300.91,3.89661046,118070.8429
1681596000000,30274.55,30370.74,30257.97,30345.29,9.08658034,275734.9155
1681592400000,30294.77,30312.11,30256.9,30274.55,15.72489741,476064.1929
1681588800000,30347.16,30347.16,30273.22,30294.77,1.66789989,50528.64355
1681585200000,30327.37,30350.0,30251.43,30347.16,3.07212474,93230.26102
1681581600000,30270.03,30327.71,30270.03,30327.37,10.43711304,316530.1889
1681578000000,30350.0,30350.0,30245.75,30270.03,5.74890699,174019.5871
